income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
23,INSURANCE,D,438,0.015776173,0.0002634293,0.292147547,0.0005808551,0.0083847251
23,ONLINE WALLET,D,78,0.0027543156,1.04825357993832E-006,0.0755967572,9.3822553913597E-005,0.0003054742
23,PERSONAL,D,256,0.0351157661,2.78454172075726E-006,0.8696785569,0.0053164124,0.0087161725
23,PREMAT CHARGES,D,7,5.68955587628547E-005,9.29991711018374E-006,0.0002514409,6.6158612136172E-009,1.44867508424795E-005
23,SWEEP,D,11,0.1211448267,4.45368641521782E-006,0.3894328475,0.0147326962,0.0626571029
23,TRAVEL,D,422,0.0068289891,3.45989283232484E-005,0.073055692,0.0001105974,0.0026221462
23,UNKNOWABLE,D,296,0.0383233691,4.23506344304769E-006,0.4574345648,0.0041358929,0.0081522446
24,BILL PAYMENT,D,676,0.1027847961,1.04119021671068E-006,1,0.0226790938,0.0520158261
24,CHARGES,D,538,0.0002899616,8.36642044532709E-008,0.0251589194,1.41128586431332E-006,0.0001389386
24,EMI,D,458,0.123465551,0.0008973068,0.9973599911,0.0147697557,0.0853695571
24,PETROL CHARGES,D,239,0.000120362,2.23335814553138E-006,0.0014541784,3.47472299190189E-008,4.74517291877419E-005
24,TAX,D,128,0.0116554234,4.01642346048448E-008,0.1962328255,0.0006319629,0.0024668372
25,FOREX,D,5,2.03199288080214E-005,7.72584371588891E-006,5.06305987073574E-005,2.44731081365097E-010,1.56637142936233E-005
25,HEALTH,D,38,0.0032629008,4.02392797695939E-005,0.0554393381,0.0001029699,0.0004547982
25,INTEREST,D,11,0.0025237239,4.58440035799868E-006,0.0253059138,5.20066005959018E-005,0.0001615185
25,PETROL,D,78,0.0015376946,3.63072249456309E-005,0.0073404498,2.80478867081242E-006,0.0009215637
25,REVERSAL,D,7,0.0007092048,9.76912451733369E-006,0.0036966589,1.55389068637288E-006,0.0001335866
25,SELF,D,1,0.0357329212,0.0357329212,0.0357329212,0,0.0357329212
25,UNKNOWN,D,676,0.5733256154,0.0006060841,1,0.0638729841,0.5974578261
26,BOUNCE CHARGES,D,104,7.01850857795377E-005,2.64235768554499E-006,0.0006897358,1.19286264504394E-008,3.17105223075487E-005
26,BRANCH CHARGES,D,138,0.0001270934,8.43067209643777E-006,0.0009715827,2.66615915429251E-008,5.8723639085656E-005
26,CLOSING,D,7,3.13783442119789E-005,6.63338369122357E-007,7.69105972722173E-005,6.60722138681509E-010,2.10318194149295E-005
26,CONSUMPTION,D,533,0.1703182669,2.15938816836569E-005,1,0.0322885964,0.1133334041
26,FOREX CHARGES,D,100,0.0007959915,6.13589122622216E-007,0.0094578965,2.62952877110044E-006,0.0001610396
26,INVESTMENT,D,200,0.0745946725,2.68437433987856E-005,0.8875102997,0.0220355901,0.0219824053
26,KIDS,D,8,0.0013376606,0.0001708571,0.0036322558,1.51194406015647E-006,0.000766556
26,LOCKER CHARGES,D,14,0.0003525588,0.0001062159,0.0007353665,4.18759490463264E-008,0.0003385743
26,LOW BALANCE CHARGES,D,26,0.0010011189,2.9332150575101E-007,0.0084448922,3.25489289420477E-006,0.0003206545
26,SAVINGS,D,189,0.1808510051,0.0001517037,0.9933185577,0.0487495601,0.09168493
26,STOCK CHARGES,D,2,0.0007396359,0.0002538047,0.0012254671,0.000000236,0.0007396359
27,,D,1,0.0144166378,0.0144166378,0.0144166378,0,0.0144166378
27,BOUNCE,D,9,0.0485245315,0.0139194699,0.1165333837,0.0012792375,0.0222299322
27,CHARITY,D,3,0.0149006067,0.0007155061,0.0409242064,0.0003395316,0.0030621076
27,HOLD FUND,D,1,0.0415563397,0.0415563397,0.0415563397,0,0.0415563397
27,INSURANCE,D,163,0.0179446794,0.0002095641,0.295740813,0.0011549996,0.0079141483
27,ONLINE WALLET,D,24,0.0010060898,2.19162629946368E-005,0.0067856465,2.7101473744258E-006,0.0002496972
27,PERSONAL,D,110,0.0325747945,3.11498297378421E-005,0.2814896107,0.0024010291,0.010501951
27,PREMAT CHARGES,D,1,2.46212221099995E-005,2.46212221099995E-005,2.46212221099995E-005,0,2.46212221099995E-005
27,SWEEP,D,5,0.1349048138,2.03551699087257E-005,0.2951590121,0.0152939724,0.0721666738
27,TRAVEL,D,181,0.0078911325,5.83994551561773E-005,0.2885428071,0.0005315946,0.002746928
27,UNKNOWABLE,D,129,0.0351027335,8.68058486958034E-006,0.3973980844,0.0046012699,0.007530611
28,BILL PAYMENT,D,290,0.1117113799,5.9578530908766E-007,1,0.0244042856,0.0574601255
28,CHARGES,D,247,0.0007774664,0.000000445,0.1100035533,4.913127821289E-005,0.0001593261
28,EMI,D,197,0.114995181,0.0007424233,0.6239826083,0.0127120956,0.0764766708
28,PETROL CHARGES,D,105,0.0001362688,2.14931424125098E-006,0.0011594866,3.5272703978584E-008,5.37102205271367E-005
28,TAX,D,55,0.0111190114,3.88667835693468E-008,0.0760897622,0.0002945291,0.0023412381
29,FOREX,D,2,0.000076117,3.03382080346637E-007,0.0001519307,5.74771176290311E-009,0.000076117
29,HEALTH,D,25,0.0015346871,5.52722740394529E-005,0.0146958698,8.84870517420072E-006,0.0004550697
29,INTEREST,D,3,0.0003406801,0.0002606719,0.0004349964,5.16720331016457E-009,0.0003263719
29,PETROL,D,43,0.0015240606,2.62344728980679E-005,0.0098785544,3.68765430651299E-006,0.0007328744
29,REVERSAL,D,1,0.0003577486,0.0003577486,0.0003577486,0,0.0003577486
29,UNKNOWN,D,331,0.6009537747,0.0048453147,1,0.0635422283,0.6298666596
30,BOUNCE CHARGES,D,54,7.17848192161236E-005,3.38594850290974E-006,0.0007755508,1.41241837557745E-008,0.000019227
